State,Beverage Type,Beverage Gallon,Ethanol Gallon,Population(>14),Average(>14),Decile(>14),Population(>21),Average(>21),Decile(>21),Source,ABV,Ethanol by ABV,Climate Index,Value_x,Value_y
Alabama,Beer,93217000.0,4194765,4181523,10032,7.0,3724348,11263,7.0,7.0,47.0,4381199.0,Average Temperature,64.2°F,61390
Alabama,Beer,93217000.0,4194765,4181523,10032,7.0,3724348,11263,7.0,7.0,47.0,4381199.0,Maximum Temperature,75.1°F,61390
Alabama,Beer,93217000.0,4194765,4181523,10032,7.0,3724348,11263,7.0,7.0,47.0,4381199.0,Minimum Temperature,53.3°F,61390
Alabama,Beer,93217000.0,4194765,4181523,10032,7.0,3724348,11263,7.0,7.0,47.0,4381199.0,Precipitation,"65.16""",61390
Alabama,Beer,93217000.0,4194765,4181523,10032,7.0,3724348,11263,7.0,7.0,47.0,4381199.0,Cooling Degree Days,"1,889°Df",61390
Alabama,Beer,93217000.0,4194765,4181523,10032,7.0,3724348,11263,7.0,7.0,47.0,4381199.0,Heating Degree Days,"2,396°Df",61390
Alabama,Beer,93217000.0,4194765,4181523,10032,7.0,3724348,11263,7.0,7.0,47.0,4381199.0,Palmer Z-Index,1.04,61390
Alabama,All Beverages,,8617345,4181523,20608,9.0,3724348,23138,9.0,,,8360786.0,Average Temperature,64.2°F,61390
Alabama,All Beverages,,8617345,4181523,20608,9.0,3724348,23138,9.0,,,8360786.0,Maximum Temperature,75.1°F,61390
Alabama,All Beverages,,8617345,4181523,20608,9.0,3724348,23138,9.0,,,8360786.0,Minimum Temperature,53.3°F,61390
Alabama,All Beverages,,8617345,4181523,20608,9.0,3724348,23138,9.0,,,8360786.0,Precipitation,"65.16""",61390
Alabama,All Beverages,,8617345,4181523,20608,9.0,3724348,23138,9.0,,,8360786.0,Cooling Degree Days,"1,889°Df",61390
Alabama,All Beverages,,8617345,4181523,20608,9.0,3724348,23138,9.0,,,8360786.0,Heating Degree Days,"2,396°Df",61390
Alabama,All Beverages,,8617345,4181523,20608,9.0,3724348,23138,9.0,,,8360786.0,Palmer Z-Index,1.04,61390
Arizona,Spirits,12825861.0,5271429,6051424,8711,7.0,5371419,9814,7.0,7.0,375.0,4809698.0,Average Temperature,62.1°F,76370
Arizona,Spirits,12825861.0,5271429,6051424,8711,7.0,5371419,9814,7.0,7.0,375.0,4809698.0,Maximum Temperature,76.4°F,76370
Arizona,Spirits,12825861.0,5271429,6051424,8711,7.0,5371419,9814,7.0,7.0,375.0,4809698.0,Minimum Temperature,47.8°F,76370
Arizona,Spirits,12825861.0,5271429,6051424,8711,7.0,5371419,9814,7.0,7.0,375.0,4809698.0,Precipitation,"12.57""",76370
Arizona,Spirits,12825861.0,5271429,6051424,8711,7.0,5371419,9814,7.0,7.0,375.0,4809698.0,Cooling Degree Days,"3,152°Df",76370
Arizona,Spirits,12825861.0,5271429,6051424,8711,7.0,5371419,9814,7.0,7.0,375.0,4809698.0,Heating Degree Days,"1,723°Df",76370
Arizona,Spirits,12825861.0,5271429,6051424,8711,7.0,5371419,9814,7.0,7.0,375.0,4809698.0,Palmer Z-Index,-0.84,76370
Arizona,Wine,17897412.0,2308766,6051424,3815,6.0,5371419,4298,6.0,7.0,118.0,2111895.0,Average Temperature,62.1°F,76370
Arizona,Wine,17897412.0,2308766,6051424,3815,6.0,5371419,4298,6.0,7.0,118.0,2111895.0,Maximum Temperature,76.4°F,76370
Arizona,Wine,17897412.0,2308766,6051424,3815,6.0,5371419,4298,6.0,7.0,118.0,2111895.0,Minimum Temperature,47.8°F,76370
Arizona,Wine,17897412.0,2308766,6051424,3815,6.0,5371419,4298,6.0,7.0,118.0,2111895.0,Precipitation,"12.57""",76370
Arizona,Wine,17897412.0,2308766,6051424,3815,6.0,5371419,4298,6.0,7.0,118.0,2111895.0,Cooling Degree Days,"3,152°Df",76370
Arizona,Wine,17897412.0,2308766,6051424,3815,6.0,5371419,4298,6.0,7.0,118.0,2111895.0,Heating Degree Days,"1,723°Df",76370
Arizona,Wine,17897412.0,2308766,6051424,3815,6.0,5371419,4298,6.0,7.0,118.0,2111895.0,Palmer Z-Index,-0.84,76370
Arizona,Beer,144181000.0,6488145,6051424,10722,6.0,5371419,12079,6.0,7.0,47.0,6776507.0,Average Temperature,62.1°F,76370
Arizona,Beer,144181000.0,6488145,6051424,10722,6.0,5371419,12079,6.0,7.0,47.0,6776507.0,Maximum Temperature,76.4°F,76370
Arizona,Beer,144181000.0,6488145,6051424,10722,6.0,5371419,12079,6.0,7.0,47.0,6776507.0,Minimum Temperature,47.8°F,76370
Arizona,Beer,144181000.0,6488145,6051424,10722,6.0,5371419,12079,6.0,7.0,47.0,6776507.0,Precipitation,"12.57""",76370
Arizona,Beer,144181000.0,6488145,6051424,10722,6.0,5371419,12079,6.0,7.0,47.0,6776507.0,Cooling Degree Days,"3,152°Df",76370
Arizona,Beer,144181000.0,6488145,6051424,10722,6.0,5371419,12079,6.0,7.0,47.0,6776507.0,Heating Degree Days,"1,723°Df",76370
Arizona,Beer,144181000.0,6488145,6051424,10722,6.0,5371419,12079,6.0,7.0,47.0,6776507.0,Palmer Z-Index,-0.84,76370
Arizona,All Beverages,,14068340,6051424,23248,7.0,5371419,26191,7.0,,,13698100.0,Average Temperature,62.1°F,76370
Arizona,All Beverages,,14068340,6051424,23248,7.0,5371419,26191,7.0,,,13698100.0,Maximum Temperature,76.4°F,76370
Arizona,All Beverages,,14068340,6051424,23248,7.0,5371419,26191,7.0,,,13698100.0,Minimum Temperature,47.8°F,76370
Arizona,All Beverages,,14068340,6051424,23248,7.0,5371419,26191,7.0,,,13698100.0,Precipitation,"12.57""",76370
Arizona,All Beverages,,14068340,6051424,23248,7.0,5371419,26191,7.0,,,13698100.0,Cooling Degree Days,"3,152°Df",76370
Arizona,All Beverages,,14068340,6051424,23248,7.0,5371419,26191,7.0,,,13698100.0,Heating Degree Days,"1,723°Df",76370
Arizona,All Beverages,,14068340,6051424,23248,7.0,5371419,26191,7.0,,,13698100.0,Palmer Z-Index,-0.84,76370
Arkansas,Spirits,4592056.0,1887335,2488805,7583,9.0,2204011,8563,9.0,2.0,373.0,1712837.0,Average Temperature,61.3°F,54760
Arkansas,Spirits,4592056.0,1887335,2488805,7583,9.0,2204011,8563,9.0,2.0,373.0,1712837.0,Maximum Temperature,72.0°F,54760
Arkansas,Spirits,4592056.0,1887335,2488805,7583,9.0,2204011,8563,9.0,2.0,373.0,1712837.0,Minimum Temperature,50.7°F,54760
Arkansas,Spirits,4592056.0,1887335,2488805,7583,9.0,2204011,8563,9.0,2.0,373.0,1712837.0,Precipitation,"50.23""",54760
Arkansas,Spirits,4592056.0,1887335,2488805,7583,9.0,2204011,8563,9.0,2.0,373.0,1712837.0,Cooling Degree Days,"1,784°Df",54760
Arkansas,Spirits,4592056.0,1887335,2488805,7583,9.0,2204011,8563,9.0,2.0,373.0,1712837.0,Heating Degree Days,"3,254°Df",54760
Arkansas,Spirits,4592056.0,1887335,2488805,7583,9.0,2204011,8563,9.0,2.0,373.0,1712837.0,Palmer Z-Index,0.07,54760
Arkansas,Wine,5063413.0,653180,2488805,2624,8.0,2204011,2964,8.0,2.0,119.0,602546.0,Average Temperature,61.3°F,54760
Arkansas,Wine,5063413.0,653180,2488805,2624,8.0,2204011,2964,8.0,2.0,119.0,602546.0,Maximum Temperature,72.0°F,54760
Arkansas,Wine,5063413.0,653180,2488805,2624,8.0,2204011,2964,8.0,2.0,119.0,602546.0,Minimum Temperature,50.7°F,54760
Arkansas,Wine,5063413.0,653180,2488805,2624,8.0,2204011,2964,8.0,2.0,119.0,602546.0,Precipitation,"50.23""",54760
Arkansas,Wine,5063413.0,653180,2488805,2624,8.0,2204011,2964,8.0,2.0,119.0,602546.0,Cooling Degree Days,"1,784°Df",54760
Arkansas,Wine,5063413.0,653180,2488805,2624,8.0,2204011,2964,8.0,2.0,119.0,602546.0,Heating Degree Days,"3,254°Df",54760
Arkansas,Wine,5063413.0,653180,2488805,2624,8.0,2204011,2964,8.0,2.0,119.0,602546.0,Palmer Z-Index,0.07,54760
Arkansas,Beer,52171629.0,2347723,2488805,9433,8.0,2204011,10652,8.0,2.0,48.0,2504238.0,Average Temperature,61.3°F,54760
Arkansas,Beer,52171629.0,2347723,2488805,9433,8.0,2204011,10652,8.0,2.0,48.0,2504238.0,Maximum Temperature,72.0°F,54760
Arkansas,Beer,52171629.0,2347723,2488805,9433,8.0,2204011,10652,8.0,2.0,48.0,2504238.0,Minimum Temperature,50.7°F,54760
Arkansas,Beer,52171629.0,2347723,2488805,9433,8.0,2204011,10652,8.0,2.0,48.0,2504238.0,Precipitation,"50.23""",54760
Arkansas,Beer,52171629.0,2347723,2488805,9433,8.0,2204011,10652,8.0,2.0,48.0,2504238.0,Cooling Degree Days,"1,784°Df",54760
Arkansas,Beer,52171629.0,2347723,2488805,9433,8.0,2204011,10652,8.0,2.0,48.0,2504238.0,Heating Degree Days,"3,254°Df",54760
Arkansas,Beer,52171629.0,2347723,2488805,9433,8.0,2204011,10652,8.0,2.0,48.0,2504238.0,Palmer Z-Index,0.07,54760
Arkansas,All Beverages,,4888239,2488805,19641,10.0,2204011,22179,10.0,,,4819621.0,Average Temperature,61.3°F,54760
Arkansas,All Beverages,,4888239,2488805,19641,10.0,2204011,22179,10.0,,,4819621.0,Maximum Temperature,72.0°F,54760
Arkansas,All Beverages,,4888239,2488805,19641,10.0,2204011,22179,10.0,,,4819621.0,Minimum Temperature,50.7°F,54760
Arkansas,All Beverages,,4888239,2488805,19641,10.0,2204011,22179,10.0,,,4819621.0,Precipitation,"50.23""",54760
Arkansas,All Beverages,,4888239,2488805,19641,10.0,2204011,22179,10.0,,,4819621.0,Cooling Degree Days,"1,784°Df",54760
Arkansas,All Beverages,,4888239,2488805,19641,10.0,2204011,22179,10.0,,,4819621.0,Heating Degree Days,"3,254°Df",54760
Arkansas,All Beverages,,4888239,2488805,19641,10.0,2204011,22179,10.0,,,4819621.0,Palmer Z-Index,0.07,54760
California,Spirits,79789452.0,32793465,32549695,10075,6.0,28942489,11331,6.0,7.0,375.0,29921045.0,Average Temperature,60.4°F,87960
California,Spirits,79789452.0,32793465,32549695,10075,6.0,28942489,11331,6.0,7.0,375.0,29921045.0,Maximum Temperature,73.1°F,87960
California,Spirits,79789452.0,32793465,32549695,10075,6.0,28942489,11331,6.0,7.0,375.0,29921045.0,Minimum Temperature,47.6°F,87960
California,Spirits,79789452.0,32793465,32549695,10075,6.0,28942489,11331,6.0,7.0,375.0,29921045.0,Precipitation,"18.93""",87960
California,Spirits,79789452.0,32793465,32549695,10075,6.0,28942489,11331,6.0,7.0,375.0,29921045.0,Cooling Degree Days,"1,146°Df",87960
California,Spirits,79789452.0,32793465,32549695,10075,6.0,28942489,11331,6.0,7.0,375.0,29921045.0,Heating Degree Days,"2,689°Df",87960
California,Spirits,79789452.0,32793465,32549695,10075,6.0,28942489,11331,6.0,7.0,375.0,29921045.0,Palmer Z-Index,-1.47,87960
California,Wine,155101509.0,20008095,32549695,6147,2.0,28942489,6913,2.0,7.0,118.0,18301978.0,Average Temperature,60.4°F,87960
California,Wine,155101509.0,20008095,32549695,6147,2.0,28942489,6913,2.0,7.0,118.0,18301978.0,Maximum Temperature,73.1°F,87960
California,Wine,155101509.0,20008095,32549695,6147,2.0,28942489,6913,2.0,7.0,118.0,18301978.0,Minimum Temperature,47.6°F,87960
California,Wine,155101509.0,20008095,32549695,6147,2.0,28942489,6913,2.0,7.0,118.0,18301978.0,Precipitation,"18.93""",87960
California,Wine,155101509.0,20008095,32549695,6147,2.0,28942489,6913,2.0,7.0,118.0,18301978.0,Cooling Degree Days,"1,146°Df",87960
California,Wine,155101509.0,20008095,32549695,6147,2.0,28942489,6913,2.0,7.0,118.0,18301978.0,Heating Degree Days,"2,689°Df",87960
California,Wine,155101509.0,20008095,32549695,6147,2.0,28942489,6913,2.0,7.0,118.0,18301978.0,Palmer Z-Index,-1.47,87960
California,Beer,795212000.0,35784540,32549695,10994,5.0,28942489,12364,5.0,7.0,48.0,38170176.0,Average Temperature,60.4°F,87960
California,Beer,795212000.0,35784540,32549695,10994,5.0,28942489,12364,5.0,7.0,48.0,38170176.0,Maximum Temperature,73.1°F,87960
California,Beer,795212000.0,35784540,32549695,10994,5.0,28942489,12364,5.0,7.0,48.0,38170176.0,Minimum Temperature,47.6°F,87960
California,Beer,795212000.0,35784540,32549695,10994,5.0,28942489,12364,5.0,7.0,48.0,38170176.0,Precipitation,"18.93""",87960
California,Beer,795212000.0,35784540,32549695,10994,5.0,28942489,12364,5.0,7.0,48.0,38170176.0,Cooling Degree Days,"1,146°Df",87960
California,Beer,795212000.0,35784540,32549695,10994,5.0,28942489,12364,5.0,7.0,48.0,38170176.0,Heating Degree Days,"2,689°Df",87960
California,Beer,795212000.0,35784540,32549695,10994,5.0,28942489,12364,5.0,7.0,48.0,38170176.0,Palmer Z-Index,-1.47,87960
California,All Beverages,,88586100,32549695,27216,4.0,28942489,30608,4.0,,,86393199.0,Average Temperature,60.4°F,87960
California,All Beverages,,88586100,32549695,27216,4.0,28942489,30608,4.0,,,86393199.0,Maximum Temperature,73.1°F,87960
California,All Beverages,,88586100,32549695,27216,4.0,28942489,30608,4.0,,,86393199.0,Minimum Temperature,47.6°F,87960
California,All Beverages,,88586100,32549695,27216,4.0,28942489,30608,4.0,,,86393199.0,Precipitation,"18.93""",87960
California,All Beverages,,88586100,32549695,27216,4.0,28942489,30608,4.0,,,86393199.0,Cooling Degree Days,"1,146°Df",87960
California,All Beverages,,88586100,32549695,27216,4.0,28942489,30608,4.0,,,86393199.0,Heating Degree Days,"2,689°Df",87960
California,All Beverages,,88586100,32549695,27216,4.0,28942489,30608,4.0,,,86393199.0,Palmer Z-Index,-1.47,87960
Colorado,Spirits,16499285.0,6781206,4868174,13930,2.0,4345276,15606,2.0,1.0,364.0,6005740.0,Average Temperature,47.5°F,91610
Colorado,Spirits,16499285.0,6781206,4868174,13930,2.0,4345276,15606,2.0,1.0,364.0,6005740.0,Maximum Temperature,61.5°F,91610
Colorado,Spirits,16499285.0,6781206,4868174,13930,2.0,4345276,15606,2.0,1.0,364.0,6005740.0,Minimum Temperature,33.5°F,91610
Colorado,Spirits,16499285.0,6781206,4868174,13930,2.0,4345276,15606,2.0,1.0,364.0,6005740.0,Precipitation,"17.10""",91610
Colorado,Spirits,16499285.0,6781206,4868174,13930,2.0,4345276,15606,2.0,1.0,364.0,6005740.0,Cooling Degree Days,428°Df,91610
Colorado,Spirits,16499285.0,6781206,4868174,13930,2.0,4345276,15606,2.0,1.0,364.0,6005740.0,Heating Degree Days,"6,723°Df",91610
Colorado,Spirits,16499285.0,6781206,4868174,13930,2.0,4345276,15606,2.0,1.0,364.0,6005740.0,Palmer Z-Index,-1.37,91610
Colorado,Wine,18535725.0,2391109,4868174,4912,4.0,4345276,5503,4.0,1.0,118.0,2187216.0,Average Temperature,47.5°F,91610
Colorado,Wine,18535725.0,2391109,4868174,4912,4.0,4345276,5503,4.0,1.0,118.0,2187216.0,Maximum Temperature,61.5°F,91610
Colorado,Wine,18535725.0,2391109,4868174,4912,4.0,4345276,5503,4.0,1.0,118.0,2187216.0,Minimum Temperature,33.5°F,91610
Colorado,Wine,18535725.0,2391109,4868174,4912,4.0,4345276,5503,4.0,1.0,118.0,2187216.0,Precipitation,"17.10""",91610
Colorado,Wine,18535725.0,2391109,4868174,4912,4.0,4345276,5503,4.0,1.0,118.0,2187216.0,Cooling Degree Days,428°Df,91610
Colorado,Wine,18535725.0,2391109,4868174,4912,4.0,4345276,5503,4.0,1.0,118.0,2187216.0,Heating Degree Days,"6,723°Df",91610
Colorado,Wine,18535725.0,2391109,4868174,4912,4.0,4345276,5503,4.0,1.0,118.0,2187216.0,Palmer Z-Index,-1.37,91610
Colorado,Beer,126926614.0,5711698,4868174,11733,4.0,4345276,13145,4.0,1.0,48.0,6092477.0,Average Temperature,47.5°F,91610
Colorado,Beer,126926614.0,5711698,4868174,11733,4.0,4345276,13145,4.0,1.0,48.0,6092477.0,Maximum Temperature,61.5°F,91610
Colorado,Beer,126926614.0,5711698,4868174,11733,4.0,4345276,13145,4.0,1.0,48.0,6092477.0,Minimum Temperature,33.5°F,91610
Colorado,Beer,126926614.0,5711698,4868174,11733,4.0,4345276,13145,4.0,1.0,48.0,6092477.0,Precipitation,"17.10""",91610
Colorado,Beer,126926614.0,5711698,4868174,11733,4.0,4345276,13145,4.0,1.0,48.0,6092477.0,Cooling Degree Days,428°Df,91610
Colorado,Beer,126926614.0,5711698,4868174,11733,4.0,4345276,13145,4.0,1.0,48.0,6092477.0,Heating Degree Days,"6,723°Df",91610
Colorado,Beer,126926614.0,5711698,4868174,11733,4.0,4345276,13145,4.0,1.0,48.0,6092477.0,Palmer Z-Index,-1.37,91610
Colorado,All Beverages,,14884012,4868174,30574,2.0,4345276,34253,2.0,,,14285433.0,Average Temperature,47.5°F,91610
Colorado,All Beverages,,14884012,4868174,30574,2.0,4345276,34253,2.0,,,14285433.0,Maximum Temperature,61.5°F,91610
Colorado,All Beverages,,14884012,4868174,30574,2.0,4345276,34253,2.0,,,14285433.0,Minimum Temperature,33.5°F,91610
Colorado,All Beverages,,14884012,4868174,30574,2.0,4345276,34253,2.0,,,14285433.0,Precipitation,"17.10""",91610
Colorado,All Beverages,,14884012,4868174,30574,2.0,4345276,34253,2.0,,,14285433.0,Cooling Degree Days,428°Df,91610
Colorado,All Beverages,,14884012,4868174,30574,2.0,4345276,34253,2.0,,,14285433.0,Heating Degree Days,"6,723°Df",91610
Colorado,All Beverages,,14884012,4868174,30574,2.0,4345276,34253,2.0,,,14285433.0,Palmer Z-Index,-1.37,91610
Connecticut,Spirits,8861544.0,3642095,3061008,11898,4.0,2722545,13378,4.0,1.0,370.0,3278771.0,Average Temperature,51.4°F,87300
Connecticut,Spirits,8861544.0,3642095,3061008,11898,4.0,2722545,13378,4.0,1.0,370.0,3278771.0,Maximum Temperature,60.9°F,87300
Connecticut,Spirits,8861544.0,3642095,3061008,11898,4.0,2722545,13378,4.0,1.0,370.0,3278771.0,Minimum Temperature,41.9°F,87300
Connecticut,Spirits,8861544.0,3642095,3061008,11898,4.0,2722545,13378,4.0,1.0,370.0,3278771.0,Precipitation,"51.07""",87300
Connecticut,Spirits,8861544.0,3642095,3061008,11898,4.0,2722545,13378,4.0,1.0,370.0,3278771.0,Cooling Degree Days,706°Df,87300
Connecticut,Spirits,8861544.0,3642095,3061008,11898,4.0,2722545,13378,4.0,1.0,370.0,3278771.0,Heating Degree Days,"5,410°Df",87300
Connecticut,Spirits,8861544.0,3642095,3061008,11898,4.0,2722545,13378,4.0,1.0,370.0,3278771.0,Palmer Z-Index,0.23,87300
Connecticut,Wine,13327292.0,1719221,3061008,5617,3.0,2722545,6315,3.0,1.0,118.0,1572620.0,Average Temperature,51.4°F,87300
Connecticut,Wine,13327292.0,1719221,3061008,5617,3.0,2722545,6315,3.0,1.0,118.0,1572620.0,Maximum Temperature,60.9°F,87300
Connecticut,Wine,13327292.0,1719221,3061008,5617,3.0,2722545,6315,3.0,1.0,118.0,1572620.0,Minimum Temperature,41.9°F,87300
Connecticut,Wine,13327292.0,1719221,3061008,5617,3.0,2722545,6315,3.0,1.0,118.0,1572620.0,Precipitation,"51.07""",87300
Connecticut,Wine,13327292.0,1719221,3061008,5617,3.0,2722545,6315,3.0,1.0,118.0,1572620.0,Cooling Degree Days,706°Df,87300
Connecticut,Wine,13327292.0,1719221,3061008,5617,3.0,2722545,6315,3.0,1.0,118.0,1572620.0,Heating Degree Days,"5,410°Df",87300
Connecticut,Wine,13327292.0,1719221,3061008,5617,3.0,2722545,6315,3.0,1.0,118.0,1572620.0,Palmer Z-Index,0.23,87300
Connecticut,Beer,53077297.0,2388478,3061008,7803,10.0,2722545,8773,10.0,1.0,48.0,2547710.0,Average Temperature,51.4°F,87300
Connecticut,Beer,53077297.0,2388478,3061008,7803,10.0,2722545,8773,10.0,1.0,48.0,2547710.0,Maximum Temperature,60.9°F,87300
Connecticut,Beer,53077297.0,2388478,3061008,7803,10.0,2722545,8773,10.0,1.0,48.0,2547710.0,Minimum Temperature,41.9°F,87300
Connecticut,Beer,53077297.0,2388478,3061008,7803,10.0,2722545,8773,10.0,1.0,48.0,2547710.0,Precipitation,"51.07""",87300
Connecticut,Beer,53077297.0,2388478,3061008,7803,10.0,2722545,8773,10.0,1.0,48.0,2547710.0,Cooling Degree Days,706°Df,87300
Connecticut,Beer,53077297.0,2388478,3061008,7803,10.0,2722545,8773,10.0,1.0,48.0,2547710.0,Heating Degree Days,"5,410°Df",87300
Connecticut,Beer,53077297.0,2388478,3061008,7803,10.0,2722545,8773,10.0,1.0,48.0,2547710.0,Palmer Z-Index,0.23,87300
Connecticut,All Beverages,,7749794,3061008,25318,5.0,2722545,28465,5.0,,,7399101.0,Average Temperature,51.4°F,87300
Connecticut,All Beverages,,7749794,3061008,25318,5.0,2722545,28465,5.0,,,7399101.0,Maximum Temperature,60.9°F,87300
Connecticut,All Beverages,,7749794,3061008,25318,5.0,2722545,28465,5.0,,,7399101.0,Minimum Temperature,41.9°F,87300
Connecticut,All Beverages,,7749794,3061008,25318,5.0,2722545,28465,5.0,,,7399101.0,Precipitation,"51.07""",87300
Connecticut,All Beverages,,7749794,3061008,25318,5.0,2722545,28465,5.0,,,7399101.0,Cooling Degree Days,706°Df,87300
Connecticut,All Beverages,,7749794,3061008,25318,5.0,2722545,28465,5.0,,,7399101.0,Heating Degree Days,"5,410°Df",87300
Connecticut,All Beverages,,7749794,3061008,25318,5.0,2722545,28465,5.0,,,7399101.0,Palmer Z-Index,0.23,87300
Delaware,Spirits,5063063.0,2080919,844349,24645,1.0,756926,27492,1.0,1.0,370.0,1873333.0,Average Temperature,57.4°F,74070
Delaware,Spirits,5063063.0,2080919,844349,24645,1.0,756926,27492,1.0,1.0,370.0,1873333.0,Maximum Temperature,67.2°F,74070
Delaware,Spirits,5063063.0,2080919,844349,24645,1.0,756926,27492,1.0,1.0,370.0,1873333.0,Minimum Temperature,47.6°F,74070
Delaware,Spirits,5063063.0,2080919,844349,24645,1.0,756926,27492,1.0,1.0,370.0,1873333.0,Precipitation,"40.90""",74070
Delaware,Spirits,5063063.0,2080919,844349,24645,1.0,756926,27492,1.0,1.0,370.0,1873333.0,Cooling Degree Days,"1,254°Df",74070
Delaware,Spirits,5063063.0,2080919,844349,24645,1.0,756926,27492,1.0,1.0,370.0,1873333.0,Heating Degree Days,"4,164°Df",74070
Delaware,Spirits,5063063.0,2080919,844349,24645,1.0,756926,27492,1.0,1.0,370.0,1873333.0,Palmer Z-Index,-0.62,74070
Delaware,Wine,5244892.0,676591,844349,8013,1.0,756926,8939,1.0,1.0,118.0,618897.0,Average Temperature,57.4°F,74070
Delaware,Wine,5244892.0,676591,844349,8013,1.0,756926,8939,1.0,1.0,118.0,618897.0,Maximum Temperature,67.2°F,74070
Delaware,Wine,5244892.0,676591,844349,8013,1.0,756926,8939,1.0,1.0,118.0,618897.0,Minimum Temperature,47.6°F,74070
Delaware,Wine,5244892.0,676591,844349,8013,1.0,756926,8939,1.0,1.0,118.0,618897.0,Precipitation,"40.90""",74070
Delaware,Wine,5244892.0,676591,844349,8013,1.0,756926,8939,1.0,1.0,118.0,618897.0,Cooling Degree Days,"1,254°Df",74070
Delaware,Wine,5244892.0,676591,844349,8013,1.0,756926,8939,1.0,1.0,118.0,618897.0,Heating Degree Days,"4,164°Df",74070
Delaware,Wine,5244892.0,676591,844349,8013,1.0,756926,8939,1.0,1.0,118.0,618897.0,Palmer Z-Index,-0.62,74070
Delaware,Beer,21201925.0,954087,844349,11300,5.0,756926,12605,5.0,1.0,48.0,1017692.0,Average Temperature,57.4°F,74070
Delaware,Beer,21201925.0,954087,844349,11300,5.0,756926,12605,5.0,1.0,48.0,1017692.0,Maximum Temperature,67.2°F,74070
Delaware,Beer,21201925.0,954087,844349,11300,5.0,756926,12605,5.0,1.0,48.0,1017692.0,Minimum Temperature,47.6°F,74070
Delaware,Beer,21201925.0,954087,844349,11300,5.0,756926,12605,5.0,1.0,48.0,1017692.0,Precipitation,"40.90""",74070
Delaware,Beer,21201925.0,954087,844349,11300,5.0,756926,12605,5.0,1.0,48.0,1017692.0,Cooling Degree Days,"1,254°Df",74070
Delaware,Beer,21201925.0,954087,844349,11300,5.0,756926,12605,5.0,1.0,48.0,1017692.0,Heating Degree Days,"4,164°Df",74070
Delaware,Beer,21201925.0,954087,844349,11300,5.0,756926,12605,5.0,1.0,48.0,1017692.0,Palmer Z-Index,-0.62,74070
Delaware,All Beverages,,3711597,844349,43958,1.0,756926,49035,1.0,,,3509922.0,Average Temperature,57.4°F,74070
Delaware,All Beverages,,3711597,844349,43958,1.0,756926,49035,1.0,,,3509922.0,Maximum Temperature,67.2°F,74070
Delaware,All Beverages,,3711597,844349,43958,1.0,756926,49035,1.0,,,3509922.0,Minimum Temperature,47.6°F,74070
Delaware,All Beverages,,3711597,844349,43958,1.0,756926,49035,1.0,,,3509922.0,Precipitation,"40.90""",74070
Delaware,All Beverages,,3711597,844349,43958,1.0,756926,49035,1.0,,,3509922.0,Cooling Degree Days,"1,254°Df",74070
Delaware,All Beverages,,3711597,844349,43958,1.0,756926,49035,1.0,,,3509922.0,Heating Degree Days,"4,164°Df",74070
Delaware,All Beverages,,3711597,844349,43958,1.0,756926,49035,1.0,,,3509922.0,Palmer Z-Index,-0.62,74070
